City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
66,Acapulco,MX,73.22,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
67,Ocos,GT,83.32,overcast clouds,14.5094,-92.1933,Auto Hotel El Soñador
70,Puerto Ayora,EC,72.55,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
71,Itarema,BR,83.61,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
72,Chernyshevskiy,RU,67.91,overcast clouds,63.0128,112.4714,Chernyseyskiy
74,Manicore,BR,78.75,few clouds,-5.8092,-61.3003,Hotel Durval
76,Bathsheba,BB,84.81,scattered clouds,13.2167,-59.5167,Atlantis Hotel
77,Bengkulu,ID,78.03,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
79,Isangel,VU,73.65,few clouds,-19.55,169.2667,Tanna Lodge
82,Butaritari,KI,83.53,light rain,3.0707,172.7902,Isles Sunset Lodge
84,Broome,US,72.9,few clouds,42.2506,-75.833,Chenango Valley State Park
85,Vaini,TO,69.96,broken clouds,-21.2,-175.2,Keleti Beach Resort
88,Saint-Philippe,RE,77.22,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
89,Lagoa,PT,65.93,scattered clouds,39.05,-27.9833,Casa Das Faias
92,Puerto Colombia,CO,75.29,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
93,Lata,PT,82.49,clear sky,40.1629,-8.3327,Casa Maquia
94,Port Elizabeth,ZA,67.1,few clouds,-33.918,25.5701,39 On Nile Guest House
96,Mathbaria,BD,83.5,scattered clouds,22.2876,89.9593,Shikdar Hotel
97,Conde,BR,80.06,clear sky,-7.2597,-34.9075,Pousada Beija Flor
99,Cabedelo,BR,81.27,clear sky,-6.9811,-34.8339,Hotel Pigalle
102,Salina,US,69.93,scattered clouds,38.8403,-97.6114,"Holiday Inn Express & Suites Salina, an IHG Hotel"
103,Patan,NP,73.78,broken clouds,27.6667,85.3333,Hotel Goodwill
104,Murray,US,68.85,clear sky,40.6669,-111.888,Hampton Inn Salt Lake City/Murray
108,Jamestown,US,72.99,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
110,Altamira,BR,78.89,scattered clouds,-3.2033,-52.2064,Requinte Hotel
113,Katsuura,JP,76.1,heavy intensity rain,35.1333,140.3,Katsuura Hotel Mikazuki
115,Porto Novo,BJ,73.22,moderate rain,6.4965,2.6036,Tour Eiffel Hotel Benin
116,Bitin,PH,84.36,broken clouds,14.0939,121.2128,Hidden Valley Springs
117,Nikolskoye,RU,78.69,overcast clouds,59.7035,30.7861,Tourist House - Sablino
118,Avera,US,74.71,scattered clouds,33.194,-82.5271,
120,Cobija,BO,78.57,clear sky,-11.0267,-68.7692,Hotel Obelisco
123,Tena,EC,70.56,clear sky,-0.9833,-77.8167,Hostal Tena Ñaui
125,Saint-Francois,FR,78.67,clear sky,46.4154,3.9054,Manoir Du Bonheur
127,Pochutla,MX,73.22,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
131,Virginia Beach,US,79.0,overcast clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
132,Kathmandu,NP,73.4,broken clouds,27.7167,85.3167,Hotel Shanker Kathmandu
133,Raymondville,US,80.91,clear sky,26.4815,-97.7831,La Quinta Inn & Suites by Wyndham Raymondville
134,Barra Do Garcas,BR,72.18,clear sky,-15.89,-52.2567,Hotel Pousada Tropical
136,Shihezi,CN,75.02,overcast clouds,44.3,86.0333,Home Inn Shihezi Dongwu Road Century Square
138,Yen Bai,VN,84.74,broken clouds,21.7,104.8667,AK MOTEL
