City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
109,Vestmanna,FO,2021-06-23 16:03:59,62.1564,-7.1664,47.32,87,90,8.05
110,Atar,MR,2021-06-23 16:04:00,20.5169,-13.0499,106.52,9,73,16.98
111,Kapaa,US,2021-06-23 16:04:00,22.0752,-159.319,71.58,100,69,7.18
112,Mushie,CD,2021-06-23 16:04:01,-3.0167,16.9,84.99,49,78,3.31
113,Esperance,AU,2021-06-23 16:04:01,-33.8667,121.9,55.72,76,100,15.82
114,Salina,US,2021-06-23 16:04:02,38.8403,-97.6114,82.02,63,75,5.99
115,Fairbanks,US,2021-06-23 16:04:03,64.8378,-147.7164,66.54,72,40,6.91
116,Hofn,IS,2021-06-23 16:04:03,64.2539,-15.2082,50.43,67,64,4.18
117,Grindavik,IS,2021-06-23 16:04:04,63.8424,-22.4338,54.07,62,0,19.57
118,Kloulklubed,PW,2021-06-23 16:04:05,7.0419,134.2556,75.7,68,87,3.85
119,Liverpool,GB,2021-06-23 16:03:05,53.4106,-2.9779,61.34,81,90,1.01
120,Lasa,IT,2021-06-23 16:04:06,46.6166,10.7002,80.51,58,91,7.99
121,Staryy Oskol,RU,2021-06-23 16:02:25,51.2967,37.8417,81.48,71,99,3.85
122,Granger,US,2021-06-23 16:02:07,41.7481,-86.1257,69.75,67,75,16.11
123,Klaksvik,FO,2021-06-23 16:04:08,62.2266,-6.589,49.12,83,43,13.18
124,East London,ZA,2021-06-23 16:00:31,-33.0153,27.9116,66.45,68,70,11.32
125,Washington,US,2021-06-23 16:00:14,47.5001,-120.5015,77.58,41,100,4.7
126,Husavik,IS,2021-06-23 16:03:40,66.0449,-17.3389,42.1,90,100,12.84
127,Carnarvon,AU,2021-06-23 16:04:11,-24.8667,113.6333,60.93,50,1,15.99
128,Ixtapa,MX,2021-06-23 16:04:12,20.7,-105.2,79.23,94,90,0.0
129,Ambilobe,MG,2021-06-23 16:04:12,-13.2,49.05,69.8,66,2,3.71
130,Rio Gallegos,AR,2021-06-23 16:04:14,-51.6226,-69.2181,36.59,65,2,2.1
131,Lebu,CL,2021-06-23 16:04:15,-37.6167,-73.65,52.95,75,70,3.13
132,Saskylakh,RU,2021-06-23 16:01:13,71.9167,114.0833,46.72,46,43,12.17
133,Hualmay,PE,2021-06-23 16:04:16,-11.0964,-77.6139,67.41,72,31,13.06
134,Roebourne,AU,2021-06-23 16:04:17,-20.7833,117.1333,60.6,36,40,12.95
135,Corinto,GR,2021-06-23 16:01:43,37.9407,22.9573,97.0,44,0,3.71
136,Strezhevoy,RU,2021-06-23 16:04:18,60.7333,77.5889,53.58,64,86,4.9
137,Taungdwingyi,MM,2021-06-23 16:04:18,20.0167,95.55,76.96,88,99,10.31
138,Kimbe,PG,2021-06-23 16:04:19,-5.5502,150.1429,74.91,89,93,4.25
139,Saint-Philippe,RE,2021-06-23 16:04:20,-21.3585,55.7679,69.39,71,43,12.82
140,Yasothon,TH,2021-06-23 16:03:27,15.75,104.1333,87.04,65,100,9.98
141,Port Keats,AU,2021-06-23 16:04:21,-14.25,129.55,73.6,78,100,2.93
142,Santiago,CL,2021-06-23 15:59:27,-33.4569,-70.6483,57.16,72,90,0.0
143,Ahipara,NZ,2021-06-23 16:04:22,-35.1667,173.1667,47.84,82,15,3.0
144,Gari,RU,2021-06-23 16:04:23,59.4307,62.3497,58.05,56,5,3.47
145,Kuching,MY,2021-06-23 16:04:23,1.55,110.3333,77.22,94,20,1.14
146,Deputatskiy,RU,2021-06-23 16:04:24,69.3,139.9,53.33,59,2,2.19
147,Pindiga,NG,2021-06-23 16:04:25,9.9833,10.9333,85.68,48,46,6.96
148,San Cristobal,VE,2021-06-23 16:02:38,7.7669,-72.225,82.6,43,16,7.0
149,Omsukchan,RU,2021-06-23 16:04:26,62.5333,155.8,45.14,78,100,2.48
150,Saldanha,ZA,2021-06-23 16:04:27,-33.0117,17.9442,57.72,77,100,9.44
151,Sibolga,ID,2021-06-23 16:04:27,1.7427,98.7792,75.72,84,74,3.71
152,Coari,BR,2021-06-23 16:04:28,-4.085,-63.1414,88.3,54,67,1.95
153,Kieta,PG,2021-06-23 16:04:28,-6.2167,155.6333,78.26,86,100,6.85
154,Tombouctou,ML,2021-06-23 16:04:29,20.0,-3.0,109.63,9,6,2.84
155,Porosozero,RU,2021-06-23 16:02:11,62.7191,32.727,69.22,88,95,6.89
156,Juazeiro,BR,2021-06-23 16:04:31,-9.4117,-40.4986,84.38,54,40,9.22
157,Berlevag,NO,2021-06-23 16:04:31,70.8578,29.0864,51.6,71,75,20.71
158,College,US,2021-06-23 16:04:32,64.8569,-147.8028,66.65,72,40,6.91
159,Oktyabrskiy,RU,2021-06-23 16:04:32,54.4815,53.471,66.58,86,98,3.56
160,Kavaratti,IN,2021-06-23 16:04:33,10.5669,72.642,83.05,76,100,18.34
161,Bolshaya Sosnova,RU,2021-06-23 16:04:34,57.6713,54.6029,69.94,75,22,4.61
162,Shakawe,BW,2021-06-23 16:02:36,-18.3667,21.85,65.57,31,0,3.74
163,Tuatapere,NZ,2021-06-23 16:04:35,-46.1333,167.6833,42.82,91,100,5.61
164,Gainesville,US,2021-06-23 16:04:36,29.6516,-82.3248,86.79,76,20,1.01
165,Hamilton,US,2021-06-23 16:01:20,39.1834,-84.5333,74.73,46,92,1.01
166,Mayor Pablo Lagerenza,PY,2021-06-23 16:04:37,-19.9309,-60.7718,89.82,35,49,20.29
167,Torbay,CA,2021-06-23 16:04:38,47.6666,-52.7314,74.88,87,80,17.85
168,Karratha,AU,2021-06-23 16:04:38,-20.7377,116.8463,60.39,36,47,11.86
169,Marmande,FR,2021-06-23 16:00:08,44.5,0.1667,70.88,82,96,7.78
170,Villa San Giovanni,IT,2021-06-23 16:04:40,38.2276,15.6386,94.6,42,69,1.01
171,Areni,AM,2021-06-23 16:04:41,39.7191,45.1799,91.76,31,1,10.49
172,Mantua,IT,2021-06-23 16:02:08,45.1667,10.7833,91.71,50,83,1.01
173,Warrington,GB,2021-06-23 16:01:37,53.3925,-2.5802,61.52,84,90,1.99
174,Cherskiy,RU,2021-06-23 16:04:43,68.75,161.3,49.64,53,83,6.71
175,Ancud,CL,2021-06-23 16:04:43,-41.8697,-73.8203,47.43,85,43,8.75
176,Ribeira Grande,PT,2021-06-23 16:03:56,38.5167,-28.7,70.2,64,75,6.91
177,Itaituba,BR,2021-06-23 16:04:46,-4.2761,-55.9836,94.06,38,57,4.27
178,Pevek,RU,2021-06-23 16:04:47,69.7008,170.3133,37.67,77,16,4.59
179,Zrenjanin,RS,2021-06-23 16:04:48,45.3836,20.3819,97.95,33,0,6.91
180,Bondo,CD,2021-06-23 16:04:49,3.8146,23.6866,71.71,95,100,0.54
181,Iturama,BR,2021-06-23 16:04:49,-19.7281,-50.1956,85.32,33,37,7.96
182,Souillac,MU,2021-06-23 16:04:50,-20.5167,57.5167,68.36,62,2,15.03
183,Chuy,UY,2021-06-23 16:04:51,-33.6971,-53.4616,61.99,77,65,16.96
184,Geraldton,AU,2021-06-23 16:04:52,-28.7667,114.6,46.81,87,17,5.75
185,Sao Filipe,CV,2021-06-23 16:04:53,14.8961,-24.4956,76.28,72,22,11.36
186,Bridlington,GB,2021-06-23 16:00:45,54.0831,-0.1919,71.78,73,49,6.85
187,Urucui,BR,2021-06-23 16:04:55,-7.2294,-44.5561,94.53,30,15,8.72
188,Dusti,TJ,2021-06-23 16:04:56,37.3481,68.664,83.12,13,0,4.79
189,Takoradi,GH,2021-06-23 16:03:14,4.8845,-1.7554,79.21,80,79,9.73
190,Tura,IN,2021-06-23 16:04:57,25.5198,90.2201,74.97,95,93,6.08
191,Srednekolymsk,RU,2021-06-23 16:04:58,67.45,153.6833,57.99,69,82,3.06
192,Cedar City,US,2021-06-23 16:04:55,37.6775,-113.0619,79.39,22,1,16.11
193,Ilulissat,GL,2021-06-23 16:04:59,69.2167,-51.1,53.62,62,75,18.41
194,Zhigansk,RU,2021-06-23 16:05:00,66.7697,123.3711,62.82,80,100,7.74
195,Leningradskiy,RU,2021-06-23 16:05:00,69.3833,178.4167,40.71,74,6,5.64
196,Misratah,LY,2021-06-23 16:05:01,32.3754,15.0925,92.79,38,0,16.37
197,Umm Lajj,SA,2021-06-23 16:05:02,25.0213,37.2685,86.68,58,9,11.95
198,Broome,US,2021-06-23 16:05:02,42.2506,-75.833,68.45,56,75,1.99
199,Labuhan,ID,2021-06-23 16:05:03,-6.8844,112.2051,78.26,86,63,6.22
200,Lagoa,PT,2021-06-23 16:05:04,39.05,-27.9833,67.05,72,75,8.7
201,Namibe,AO,2021-06-23 16:05:04,-15.1961,12.1522,70.3,79,2,8.7
